user_id,song_id,listen_cnt,song_name,artist_id,artist_name,album_id,album_name,genre_id,genre_name,domestic_yn,reg_date
67540413,123741938,13,Hari Bahhagia,10967945,Aurelie Hermansyah,14247724,Hari Bahhagia (Single),100010,Pop,Y,2021-04-13 04:32:32.637069
67540413,120241881,12,Mau Enaknya Aja,11249943,Ghea Youbi,11565511,Mau Enaknya Aja - Single,100045,Dangdut,Y,2021-04-13 00:39:41.636594
67540413,114676176,12,Pupus,10000749,Dewa,10668773,The Greatest Hits,100010,Pop,Y,2021-04-13 00:02:15.870259
67540413,120857771,12,Rapuh,11160249,Tasya Rosmala,12140612,Rapuh,100045,Dangdut,Y,2021-04-13 20:24:01.196818
67540413,123405268,11,Sapu Jagat,11446377,Sabyan,14020864,Sapu Jagat,100056,Religi-Muslim,Y,2021-04-13 20:50:28.771735
67540413,123450668,11,Sayang,12079104,Alma Margana,14055364,Sayang,100010,Pop,Y,2021-04-13 11:48:25.041615
67540413,120456166,13,Tanpa Batas Waktu,11762344,Ade Govinda (Feat. Fadly),11690912,Tanpa Batas Waktu (Single),100010,Pop,Y,2021-04-13 00:35:19.245909
67540413,120833891,11,Teman Sejati,11918664,Sabyan X Tasya Rosmala,12125352,Teman Sejati,100056,Religi-Muslim,Y,2021-04-13 05:13:11.164596
67540413,121669501,11,Yowes Modaro,12442784,Meidra,12830972,Yowes Modaro,100010,Pop,Y,2021-04-13 00:31:05.284873
67540948,123742943,15,Indahnya Ramadhan,10000136,Opick,14249204,Wahai Pemilik Jiwa,100056,Religi-Muslim,Y,2021-04-13 00:16:49.129556
67541649,119088424,12,Gajah (Live),10522477,Tulus,11356031,TULUS Langsung Dari Konser Monokrom Jakarta,100010,Pop,Y,2021-04-13 00:42:06.227114
67542272,121853376,86,Allah Maha Baik,10320218,Derry Sulaiman,12994872,Allah Maha Baik,100056,Religi-Muslim,Y,2021-04-15 13:24:33.465219
67542272,120665846,35,Bertaut,11715204,Nadin Amizah,11938412,Selamat Ulang Tahun,100010,Pop,Y,2021-04-14 16:47:55.616406
67542272,120912381,151,Dengan Caraku,11669443,"Arsy Widianto, Brisia Jodie",12176572,Soulmate,100010,Pop,Y,2021-04-15 11:31:29.740721
67542272,100006593,42,Kita Kan Selalu Bersama (sahabat),10002087,Rio Febrian,10000014,Aku Bertahan,100010,Pop,Y,2021-04-16 01:41:11.043921
67542272,119541937,84,Nothing's Gonna Change My Love for You,8637,George Benson,11434554,Romantic Songs,200010,Pop,N,2021-04-13 12:54:46.637745
67542272,120487211,47,Purnama Di Atas Ka'bah,10292982,Sahrul Gunawan,11727532,Purnama Di Atas Ka'bah,100056,Religi-Muslim,Y,2021-04-15 14:14:35.843951
67542272,120232719,172,Rindu Dalam Hati,11669443,"Arsy Widianto, Brisia Jodie",11563251,Rindu Dalam Hati,100010,Pop,Y,2021-04-15 11:23:44.780366
67542272,122453523,35,Seperti Kisah,10827624,Rizky Febian,13403444,Seperti Kisah (Single),100010,Pop,Y,2021-04-13 10:23:48.085198
67543134,121853126,13,Anyone,10546517,Justin Bieber,12994472,Anyone,200010,Pop,N,2021-04-14 00:12:49.963886
67543134,123034873,13,At My Worst,11653388,Pink Sweat$,13795404,PINK PLANET,200025,R&B,N,2021-04-13 07:37:55.823405
67543134,121290596,14,HEARTBREAK ANNIVERSARY,11656823,Giveon,12579612,HEARTBREAK ANNIVERSARY,200025,R&B,N,2021-04-13 02:00:56.570782
67543134,114779423,22,Hurts So Good,10676266,Astrid S,10681352,Scream: Music From Season 2,200010,Pop,N,2021-04-13 03:49:03.353770
67543134,120404811,11,Play Date,10550440,Melanie Martinez,11630952,Cry Baby (Deluxe Edition),200055,Alternative,N,2021-04-13 02:27:50.727763
67543134,123181653,15,Tanya Hati,11344503,Mawar de Jongh,13865124,Tanya Hati (Single),100010,Pop,Y,2021-04-13 01:48:17.371433
67543134,123044933,21,We're Good,10823462,Dua Lipa,13801624,Future Nostalgia (The Moonlight Edition),200010,Pop,N,2021-04-13 02:00:47.981454
67543908,120918671,11,Izinkan (DJ Mix),10280917,Thomas Arya,12190992,Izinkan (DJ Mix),100015,Dance,Y,2021-04-13 07:41:21.508735
67543968,123066053,12,Begitu Indah,10011152,Pance Pondaag,13813284,The Best Of Edisi '99,200010,Pop,N,2021-04-15 05:34:39.859593
67543968,123066068,12,Demi Kau Dan Si Buah Hati,10011152,Pance Pondaag,13813284,The Best Of Edisi '99,200010,Pop,N,2021-04-15 05:39:06.181866
67543968,123066088,13,Jelita,10011152,Pance Pondaag,13813284,The Best Of Edisi '99,200010,Pop,N,2021-04-15 05:47:24.102571
67543968,123066103,13,Kau Dan Hatimu,10011152,Pance Pondaag,13813284,The Best Of Edisi '99,200010,Pop,N,2021-04-15 05:50:02.981825
67543968,123066108,11,Kau Telah Berdua,10011152,Pance Pondaag,13813284,The Best Of Edisi '99,200010,Pop,N,2021-04-15 05:54:02.703374
67543968,123066113,14,Kau Yang Kusayang,10011152,Pance Pondaag,13813284,The Best Of Edisi '99,200010,Pop,N,2021-04-15 05:58:09.044081
67543968,123066118,15,Mulanya Biasa Saja,10011152,Pance Pondaag,13813284,The Best Of Edisi '99,200010,Pop,N,2021-04-15 07:25:47.206831
67543968,111401602,15,Ratapan Anak Tiri,10018312,Titiek Sandora,10218551,Hits Titiek Sandhora,100010,Pop,Y,2021-04-15 09:43:36.133270
67545013,123621283,16,Beri Waktu,11450603,Gita youbi,14177124,Beri Waktu,100045,Dangdut,Y,2021-04-13 09:11:15.898944
67545013,123743418,19,Pergi,11230323,Jihan Audy,14250004,Pergi,100010,Pop,Y,2021-04-15 13:03:21.044018
67545013,123741173,17,Sun Peng Telu,12475104,Syahiba Saufa feat James AP,14246104,Sun Peng Telu,100045,Dangdut,Y,2021-04-13 09:15:37.909204
67545013,123741178,24,talining asmoro,11671085,HAPPY ASMARA,14246144,talining asmoro,100045,Dangdut,Y,2021-04-13 09:10:25.665782
